s,carat,cut,color,clarity,depth,table,price,x,y,z
32365,0.35,Very Good,E,VS1,59.7,59,790,4.59,4.62,2.75
32366,0.32,Ideal,E,VVS2,61.6,55,790,4.42,4.45,2.73
32367,0.32,Ideal,E,VVS2,62,54,790,4.41,4.43,2.74
32368,0.4,Ideal,I,VVS1,61.4,58,790,4.72,4.76,2.91
32369,0.4,Ideal,I,VVS1,63,55,790,4.7,4.73,2.97
32370,0.3,Ideal,F,VVS1,62.4,57,790,4.25,4.28,2.66
32371,0.4,Ideal,F,VS2,62.6,56,790,4.71,4.72,2.95
32372,0.35,Ideal,D,VS2,62.5,56,790,4.51,4.55,2.83
32373,0.34,Ideal,E,VS1,61.2,55,790,4.51,4.54,2.77
32374,0.34,Ideal,E,VS1,61.6,55,790,4.5,4.52,2.78
32375,0.32,Ideal,D,VS1,62.2,54,790,4.41,4.43,2.75
32376,0.45,Ideal,H,SI1,61.3,55,790,4.96,4.99,3.05
32377,0.43,Ideal,G,SI1,61.5,57,790,4.84,4.87,2.98
32378,0.3,Fair,G,VVS1,58.6,66,790,4.36,4.41,2.57
32379,0.39,Very Good,J,VS1,63.5,58,790,4.64,4.59,2.93
32380,0.39,Very Good,J,VS1,63.1,56,790,4.7,4.62,2.94
32381,0.39,Premium,J,VS1,61,62,790,4.71,4.66,2.86
32382,0.39,Premium,J,VS1,61.6,59,790,4.71,4.67,2.89
32383,0.3,Ideal,D,VS2,62.4,55,790,4.32,4.3,2.69
32384,0.3,Ideal,D,VS2,62.3,56,790,4.31,4.29,2.68
32385,0.32,Ideal,D,VVS2,61.7,55,790,4.39,4.42,2.72
32386,0.32,Ideal,D,VVS2,62.2,56,790,4.37,4.41,2.73
32387,0.42,Very Good,F,VS2,60.1,61,790,4.84,4.88,2.92
32388,0.32,Very Good,D,VVS2,60.1,58,791,4.41,4.44,2.66
32389,0.42,Very Good,I,VS1,60.4,60,791,4.82,4.88,2.93
32390,0.4,Very Good,E,VS2,63.8,55,791,4.66,4.71,2.99
32391,0.4,Very Good,E,VS2,60.4,63,791,4.68,4.72,2.84
32392,0.4,Very Good,E,VS2,63,58,791,4.7,4.73,2.97
32393,0.4,Very Good,G,VS1,60.8,59,791,4.75,4.83,2.91
32394,0.31,Ideal,E,VVS2,61.6,55,791,4.37,4.4,2.7
32395,0.31,Ideal,E,VVS2,61.4,57,791,4.37,4.39,2.69
32396,0.31,Ideal,E,VVS2,62.4,53,791,4.33,4.35,2.71
32397,0.31,Ideal,E,VVS2,61.3,55,791,4.35,4.39,2.68
32398,0.31,Ideal,E,VVS2,62,54,791,4.36,4.41,2.72
32399,0.31,Ideal,E,VVS2,62,54,791,4.38,4.4,2.72
32400,0.38,Ideal,I,VVS1,61.6,56,791,4.68,4.71,2.89
32401,0.37,Premium,F,SI1,62.4,59,791,4.6,4.56,2.86
32402,0.37,Premium,F,SI1,60.3,58,791,4.66,4.62,2.8
32403,0.37,Premium,F,SI1,62.5,58,791,4.57,4.52,2.84
32404,0.37,Premium,F,SI1,61.6,59,791,4.67,4.62,2.86
32405,0.37,Premium,F,SI1,62.3,59,791,4.61,4.57,2.86
32406,0.37,Premium,F,SI1,61.5,59,791,4.62,4.59,2.83
32407,0.37,Ideal,F,SI1,62.4,54,791,4.63,4.6,2.88
32408,0.41,Ideal,D,SI1,62.6,57,791,4.74,4.78,2.98
32409,0.41,Ideal,D,SI1,62.7,56,791,4.73,4.78,2.98
32410,0.41,Premium,D,SI1,62.1,59,791,4.74,4.76,2.95
32411,0.41,Ideal,D,SI1,62.3,55,791,4.77,4.79,2.98
32412,0.41,Ideal,D,SI1,60.3,57,791,4.82,4.86,2.92
32413,0.41,Ideal,D,SI1,61.7,54,791,4.78,4.79,2.95
32414,0.41,Good,D,SI1,63.1,59,791,4.7,4.71,2.97
32415,0.41,Ideal,D,SI1,61.6,55,791,4.78,4.8,2.95
32416,0.41,Ideal,D,SI1,61.4,56,791,4.77,4.8,2.94
32417,0.41,Premium,D,SI1,61,59,791,4.76,4.78,2.91
32418,0.41,Ideal,D,SI1,62.2,57,791,4.7,4.76,2.94
32419,0.41,Very Good,D,SI1,62.9,58,791,4.7,4.75,2.97
32420,0.41,Ideal,D,SI1,61,57,791,4.78,4.8,2.92
32421,0.41,Premium,D,SI1,61.4,58,791,4.76,4.78,2.93
32422,0.41,Ideal,D,SI1,60.8,57,791,4.8,4.84,2.93
32423,0.41,Premium,D,SI1,59.6,59,791,4.82,4.85,2.88
32424,0.41,Premium,D,SI1,60.5,60,791,4.77,4.81,2.9
32425,0.32,Very Good,E,VS1,61.1,59.8,792,4.43,4.45,2.71
32426,0.35,Very Good,D,VS1,63.9,55,792,4.49,4.53,2.88
32427,0.4,Ideal,G,VS2,62.5,54,792,4.72,4.75,2.96
32428,0.4,Ideal,G,VS2,62.3,54,792,4.73,4.77,2.96
32429,0.4,Ideal,G,VS2,62.4,54,792,4.74,4.75,2.96
32430,0.33,Ideal,E,VS2,61.7,55,792,4.45,4.47,2.75
32431,0.4,Ideal,H,VS1,61.2,55,792,4.75,4.79,2.92
32432,0.33,Ideal,E,VS2,62.5,55,792,4.46,4.41,2.77
32433,0.41,Premium,D,VS2,62.6,59,792,4.74,4.75,2.97
32434,0.43,Ideal,F,SI1,61.8,56,792,4.84,4.87,3
32435,0.43,Ideal,E,SI1,61.5,56,792,4.85,4.9,3
32436,0.43,Premium,E,SI1,60.2,60,792,4.89,4.94,2.96
32437,0.43,Ideal,F,SI1,61.7,54,792,4.86,4.9,3.01
32438,0.43,Ideal,F,SI1,61.6,57,792,4.8,4.85,2.97
32439,0.43,Very Good,F,SI1,62.4,56,792,4.81,4.84,3.01
32440,0.43,Premium,F,SI1,60.5,60,792,4.84,4.88,2.94
32441,0.43,Very Good,F,SI1,62.9,59,792,4.79,4.84,3.03
32442,0.43,Premium,F,SI1,62.6,58,792,4.77,4.81,3
32443,0.43,Very Good,F,SI1,62.4,57,792,4.79,4.82,3
32444,0.43,Premium,F,SI1,61.3,60,792,4.83,4.86,2.97
32445,0.43,Very Good,F,SI1,62.9,60,792,4.77,4.8,3.01
32446,0.43,Very Good,H,VS2,61.9,55,792,4.8,4.95,3.02
32447,0.43,Very Good,F,SI1,62.5,56,792,4.82,4.85,3.02
32448,0.43,Very Good,E,SI1,62.9,56,792,4.8,4.83,3.03
32449,0.43,Very Good,F,SI1,61.6,59,792,4.83,4.87,2.99
32450,0.43,Ideal,E,SI1,62.3,57,792,4.78,4.82,2.99
32451,0.43,Very Good,E,SI1,62.4,56,792,4.79,4.83,3
32452,0.39,Very Good,E,VS2,60.9,58,793,4.72,4.77,2.89
