s,carat,cut,color,clarity,depth,table,price,x,y,z
10789,1.26,Ideal,J,SI2,62.8,54,4860,6.91,6.89,4.33
10790,1,Fair,H,VS2,64.8,62,4861,6.22,6.13,4
10791,1.07,Very Good,G,SI1,60.5,62,4861,6.6,6.69,4.02
10792,1.07,Very Good,D,SI2,62.6,61,4861,6.42,6.49,4.04
10793,1.07,Good,G,SI1,63.1,59,4861,6.45,6.49,4.08
10794,1.22,Very Good,J,SI2,60.5,58.5,4861,6.84,6.96,4.17
10795,1,Ideal,D,SI1,60.2,57,4861,6.54,6.48,3.92
10796,1.15,Premium,G,SI2,62.5,55,4861,6.72,6.68,4.19
10797,1.24,Good,G,SI2,63.7,60,4861,6.77,6.7,4.3
10798,1,Ideal,G,SI2,62.3,56,4861,6.46,6.44,3.96
10799,1,Premium,H,VS2,59.7,58,4861,6.57,6.52,3.91
10800,1,Good,H,VS2,63.7,59,4861,6.3,6.26,4
10801,1.06,Ideal,F,SI1,61.3,57,4862,6.56,6.51,4.01
10802,1.06,Premium,F,SI1,62.4,58,4862,6.56,6.51,4.07
10803,1.06,Ideal,F,SI1,61.2,55,4862,6.62,6.57,4.03
10804,1.06,Premium,F,SI1,61.9,58,4862,6.58,6.53,4.06
10805,0.99,Very Good,G,SI1,62.8,56,4863,6.34,6.36,3.99
10806,1.15,Premium,G,SI1,62,58,4863,6.77,6.68,4.17
10807,1.31,Good,G,SI2,63.8,56,4864,7.03,6.89,4.44
10808,1.08,Premium,F,SI1,62.1,58,4864,6.57,6.61,4.09
10809,1,Ideal,E,SI1,61.5,57,4864,6.41,6.47,3.96
10810,1,Very Good,E,SI1,61.9,62,4864,6.34,6.4,3.94
10811,1,Very Good,E,SI1,62.1,57,4864,6.35,6.4,3.96
10812,0.72,Ideal,E,VVS1,61.4,57,4864,5.74,5.79,3.54
10813,0.96,Premium,E,SI1,60,60,4864,6.44,6.39,3.85
10814,1.01,Fair,G,VS1,66.8,61,4864,6.15,6.06,4.08
10815,1.19,Premium,I,SI1,62.2,58,4865,6.77,6.73,4.2
10816,1.01,Good,H,SI2,63,61,4865,6.32,6.29,3.97
10817,1.05,Ideal,F,SI2,62.7,54,4866,6.5,6.54,4.09
10818,1,Ideal,G,SI1,62.4,56,4867,6.34,6.41,3.98
10819,1,Very Good,D,SI2,62.6,57,4867,6.37,6.4,4
10820,1.01,Very Good,H,SI1,59.3,62,4868,6.57,6.55,3.89
10821,1.1,Ideal,I,SI1,60.8,61,4868,6.63,6.7,4.05
10822,1.01,Ideal,G,SI1,60.7,58,4868,6.55,6.52,3.97
